Author;Komentar;Klasifikasi
Chiwel;harga standar restoran kelas papan atas;positif
Aulia Oktaviani;daging currynya dikit kuah doank lettucenya layu taruh atas nasi goreng panas;negatif
Herdanang Ahmad Fauzan;beef curry emang enak dg resto coco curry;positif
Syee;cantik ganteng ooohhh lalala ramai rasa manteppp;positif
Oktavira Kristanti;kurang rasarasa enak solusi tambahin sambel;negatif
Juniyus Salastyo;murah sih murah enak rasa bnyak kurang nya;negatif
Nasywa Nursyabani;liat tarik kayak enak;negatif
Joker CSGO;nasi goreng standar dihargin mahal nasi curry nya kurang telor;negatif
Ric Setiadi;restaurants nya mewah harga jangkau enak banget kayak makan nya beff cury nya;positif
Anak Sapi Dy;buka kurang asin nasi gorengya baru makan chicken wings coba makan nasi goreng paz dech;positif
Matthew Christian;nyinyir gak mahal relatif cukup enak nasi goreng ala syahrini;positif
Rizqi Pulungan;nyoba rasa enak kurang asin sih tambahin garam sih soal selera;positif
Steven Putra Santona;nyinyir gak mahal relatif cukup enak nasi goreng ala syahrini;positif
YC - Yan's Conqueror;masalah rasa gantung selera lidah orang beda beda;positif
Merlin Magus;komentar bikin akun gak mutu kl krg asin kasih garam enak nasi goreng harga nya gsk mahal;positif
Audrey Arisgraha;ashanty bisnis gak jual nama kualitas jg hrga mahal tara rasa kualitas lbh bagus drpda harga mahal rasa kualitas tara dgn harga cba dapur asix enak gak pelit banget bumbu;positif
Aditia Abdurachman;maaf bully pas harga hobby masak lihat ayamny ayam kampung ayam rp rb ekor kerangny jg gr kl beli resto seafood piring cm biji pakai cangkang jd kayak peda nya jg kualitas top kepala mata fresh rp ribu bumbuny cabai packaging and marketing margin nya wajar sih jd msk akal segitu kl makan restoran high class cm dpt porsi gitu sih turut pulang msk akal al el dul damai;positif
Ima Daniati;bumbu limpah cabai bawang mahal ayam nya pakai ayam kampung kerangny kerang dara kerang ijo rasa oke;positif
Kristian Widjaja;dapur asix worth it kokudh tinjau kecewaashanty usaha jual nama usaha cakedapur asix cosmetik kecewa bilang mahal mungin tau harga ayam kampungdan kerang umayan mhal dipasarancabe mahalapa lg kualitas bahan masakan bagus fresh;positif
muhammad nasry;kerang worth it isi bejibun banget resto porsi an cm kerang porsi cangkang doang gede isi banget;positif
Everything Football;harga gak mahal banget soal ayam ayam kampung ituu perlu coba rendang deh kak enak;positif
Iqbal Saputra;segitu worth it bumbu banget harga serba mahal klo enak sebenernya harga nomor iyaa klo masak segitu harga orang klo masak usah bayar karyawan itungannya beda bkin;positif
Yanxee myth;mahal allah anak kosan makan puasa terus akhir bulan saur buka puasa telor ceplok kecap doang;negatif
The Rockwellers;mahal banget ikan pedak ekor an pasar wkwk;negatif
Arsenal Army;lihat bahan bahan emang mahal cabe petenya cabai cabai mahal pete mahal tenaga kerja lihat packingnya mahal vacum seal wajar sih bungkus liat makan orang jadi harga sepack gitu jatuh porsi jadi wajar reviewnya harga lihat harga pak pak kali serving baru fair dar masuk;positif
Wisnu Kartiko;hi ken grat sayang banget order rendang liat tinjau youtube tetangga kata rendang enak parah;positif
Kemas Daffa;mahal bat si warung tegal porsi lauk gitu mahal jg rban manfaat nama banget kaya;negatif
Wi dodo;bkin ngiler;positif
Natasya Budiarto;mahal banget woy bill gates;negatif
Zakiherdian Herdian;dapur asix food vlogger bilang enakkkkk hehehe;positif
Mr Permana;coba rendang kak worth it banget rendang;positif
Danial Hamid chaniago;dapur asix cilegon parah banget nunggu makan nya banget dateng duluan minum saking nunggu nya gue beli minum emng sih panas enak;negatif
Ananta Fajar;lihat porsi harga emang overpriced banget sih emg petenya impor spanyol jd mahal anyway gue emg makan dapur asix kue nya asix malang beneran enak sih;negatif
lala haha;kl cabai ijo pedas gak pedas bngt kaya cabai rawit khas pedas wangi cabai ijo emng beda cabai merah cabai ijo wangi mantap;positif
Cadillac Fabansky;simpul nya harga rasa sesuai smuanya fres sukses terus dapur asix;positif
__Human Bean;kak riview lawless burgerbar bang pleaseee makan burger mantap daerah kemang;positif
Andreas Kennedicks;sumpah bikin ngiler bngt;positif
t1ng t1ng;dapur nya beranta banget;negatif
Ranya Edwin Santosa;lihat dapur gak higienis banget jadi enek deh;negatif
Harefa Nadhif;sayang banget dapur kotor banget makan sih oke sih;negatif
ardirukira;nempel banget grat;negatif
Abay Rio Muhammad Akbar;dapurx jorok;negatif
array s;tempat nya kotor banget ngaduk ayam nya gak pakai sarung tangan;negatif
wakannai;eatlah emang juaraaakkk;positif
Rifdah. ocktavia;ka cobain deh salted egg ig chloeskitchenreal sumpah enakk parah rasa jauh eatlah lg sambel jeruk enakk parahh endorse yah ka saran bgor tinjau donk ka rekomendasi sumpah;positif
xyupi cha;tinjau banana king kak toppingnya royal banget pokok top deh xd;positif
zilvi arika;enak harga ny kaki lima;positif
clarestaputri23;favoriteee dory enak kak;positif
Ananda Ferly Pastia Destina;bikin ngilerr;positif
Deri Kurnianto;wth dapur kaya kapal pecah;negatif
Erico Saputra;video kengrat cuman kali bikin gue ngiler laper;positif
LaurenLaurensia;enak amaattt nihhh;positif
Arief muhammad;ka cobain sec by rius enak bangeeeeet;positif
Handika Bayu Pratama;eatlah salah satu rekomendasi foodie zomato;positif
mlbb indo;dapur jorokkkk mending salt inc suka salt inc;negatif
Raihan Ariq Muslim;kasih tau ilmu dokter telur tengah matang sehat;positif
Rosa Qhoiriyah;tempat masak nya ko kotor banget;negatif
rinda sari;ngiler;positif
Keep Putra;dapur nya banget terus tugas nya gak pakai sarung tangan waktu ngaduk ayam;negatif
Z Z;mahal;negatif
Aloysius Septian;enak banget parkirannyaa uuhhh;positif
Bobby kraksandi;enak nih kaya cuman sayang harga mahal;positif
Romy Jatriatmojo;masmas aduk ayam tepung pakai sarung tangan plastik gitu;negatif
Ayu Dwi Lestari;kitchennya kotor banget yak;negatif
lucky 7;dapur jorok;negatif
alpha boy;dapur jorok banget minyak belepotan jijik banget;negatif
SAKTI TRIONO;baru coba kemarin cipete gue rasa kurang enak daun jauh banget rasa banding salted egg jual tastegood sgpadahal harga akhir ayam asa segarseperti simpan kulkas mudah baik citarasanya;negatif
Hilmii Putraa;kemas dus bikin selera;negatif
handoyo soegiarto;turut eatlah overrated waktu makan dingin jadi enek gitu terus telor ceplok tawar emang panas baru rasa enak huft;negatif
Cahyadi Ivansah;jorook dapur;negatif
luvtwice one;enak gofood ngantrenya gak tahan dory ayam telur asin enak parah;positif
Aditia Abdurachman;emang bener slogan harga bintang rasa kaki;netral
Bae Ji;trik makan dcost beli lauk terus nasi minum gratis kenyang;positif
Ismet is me;tahu jepang saos telor asin bikin ngilerr kak;positif
Habib Noor Mundhi;tahu kipas omelete seafood cumi saos padang kangkung balacan enak favorit;positif
Florensia Garner;udang tepung mayones nya enak sapi lada hitam enak harga nya gak enak;positif
Joni Fuadi;tahu jepang telur asin my favorite food in dcoss;positif
Baskoro Danang. A;gue mahasiswa dewa restoran murah makan dcost asa murah makan ngajak orang haha cewenya wkwkwk soal cewe banyak makan dikit jd kadang gue suka habis hihihiw nasi minum nya free refill jafi syurga banget itumah gue;positif
Putri Fadillah;dcost semarang tuh mantap kak kesemarang dcost suka sambal mangga sapi lada hitam;positif
angga putra;buncis singapurnya enak parah sih favorite ngomong ngomong dcost mall hehe;positif
Bagus Noviardy Pratama;iya bener rasa kyak ngasal beli rasa beda nasi sambel kena harga gratis lg;negatif
Nugroho Tri prasetiyo;cost gak tempat enak hrgnya beda cmn enak klo lg irit hrs liat tmp gak dcost enak hrgnya beda;positif
nur dilla;beli daging sapi lada hitam deh recommend banget danging nya empuk sauce nya enak royal banget;positif
imel da halim;ayam goreng terasi enakkkkk;positif
Sisi Al-Sazam Official;tempat makan favorite suami haha;positif
yulherning balino;tempat favorit;positif
Sitinuraeni Rara;koko cece klo makan seafood enak murh riah pademangan nama seafood indah mulyono baru murh enakkk beda cmn da buncissmbel mangga jamur hehehe klo seafood gede rm bu iis cabang nya murh cmn rbuan kepiting besarrrr;positif
shanty sadipo;kencobain ayam gepuk pak gembus enak banget cm ati kw nya;positif
Rafi Abdillah;favorit ku buncis ituuuu wkwk;positif
Nita Sari;dcost pesan cumi goreng tepungkerang ijo saus padang sapo tahu wehh mantap wkwk;positif
anisa Sanjaya;kstu tahu jepang telor asin nasi goreng dh it hahaha;positif
Daredemo Daisuki;klo makan dcost rekomendasi udang mayonaise nya manis creamy tau kayak kagak;positif
Sendy G Safari;hargax mahal yah dlu segitu;negatif
Hanny risandi;omelette seafoodnya ka rekomendasi;positif
elis rahayu;sukaaa banget makan sambel mangga nasi doang haha;positif
Nur Fadillah Ayu Lestari;restoran favorit kalap sih klo sni refill nasi teh nya suka sana cumi saus telur asin ikan mujaer asem manis wajib coba deh enak banget;positif
Erindra Dean;kepiting soka saus telur asin bawang putih wajib banget sih sen mesti;positif
Mariana Priyadi;favorit wkwk murah banget;positif
Asal Ngebul;ikan saus mangga jg enak klo kesana pesan;positif
amelia hatta;makan lumayan rasa sesuai harga mahal;positif
Safira Nur Hasanah;harga mahal;negatif
Hanny A;harga nya mahal kaki it mh;negatif
Dik. Dzurr;tahu telur asin mentega nyaaa ka kaldunyaa air rendam kaldu bikin enak;positif
Naru_2kawaii4me;worth it tempat nya nyaman jow;positif
Reka Oktia;minggu kmrn baru dcost menu tahu buncis jamur persis kaya beli jga makan dingin apes kali hahaha;negatif
Hendrik S;juara dcost baby buncis singapore yaaaaiiii selera sammmmaaaa;positif
Dika Anugrah;tahu jepang saus telur asin the bagus;positif
Danti Gianti;fav banget sii makan dcost;positif
Jenni Meilinda;dlu awal murce banget mahal banget;negatif
Sri Utariningsih;dcost mahal;negatif
Vivian Tjung;dcost atrium kengrat dcost murah porsi timik bngt;negatif
Muhammad Yaser;harga bintang tofu telur asin emang enak bgttt sayur asemnya jg suka;positif
Rizeu Meyaa;mah mahall;negatif
Kiki Novira;emang murah harga gila rasa ngacoo kl orang dcost baca kaya dl lg rasa harga;negatif
zizah;dcost murah mahal gak lg makan kesana semenjak mahal;negatif
moone moon;klo asa mahal yaa murah makananya;negatif
Amrina Rosada;lupa cobain warung upnormal pisang bakar nya enak banget indomie ny enak klo makan dcost klo makan bikin ngileerr;positif
veraayuning tiyas;kmaren makan bocah kangkun ulat dcancel jd gak perlu bayar nafsu makan lanjur hancur;negatif
Eka putri Yurikasari;cobain bebek gemes deh kak rest area cibubur tol enaakss murah harganyaa;positif
Sri Ekawati;buncis mahal jamur;negatif
Febri Lina;enak banget ko makan cost rekomendasi bukber;positif
Fitriajoline Five;kaya duatiga bulan makan dcost ngerti lg promo gimana pesan menu jamur cabai garam kangkung balacan satu lupa bayar kaya kaget banget gitu tanya total bayar kali mbak kasir nyata emang;positif
Risma chanel71;makan fav banget makan jadi kangen makan;positif
Dede Baby;setujuu teman mahalllll rasa gak enak;negatif
Nissa Istati Istati;kepiting soka kerang bambu enaque;positif
uyounglex family;menu wajib pesan dcost kepiting saus padang cumi cabai garam buncis singapore sambel mangga sapi lada hitam;positif
clara gian;trakhir makan sana malam kecewa harga mahal sesuai rasa klo mall cari tempat makan hehehee;negatif
Sadam Husein;rada jorok siihh cost tuuupernah ambil sambel dapur bulan puasa ruamee banget tempat sambelnyaa cuci gelas jg kotor;negatif
Putri Puput;pakai bumbu telor asin sumpah enek rasa klo gua;positif
Siti Nurul Aisyah A;lbh enak sih emang dcost vvip porsi lbh;positif
Muhamad Rafli;pribadi klo makan dcost kayak gambling kadang rasa nya enak kadang ngomong ngomong ikan patin bakar nya gitu banget model nya enak liat hasil bakar ikan patin jual pinggir jalan;positif
Muhamad Faisal;ka cobain makan seafood sumber laut tempat apron harga jangkau recomended banget;positif
Asyifaa Rahmayanti;favorit tahu jepang telor asin kangkung balacan ayam goren terasi buncis muda singapur ikan gurame asam manis jamur cabai garam sambal terasi enak konsisten rasa dcost palmerah deket bus;positif
Octalia Debora;cumi cabai garam cumi telor asin fenomenal saus telor asin baru ngetrend dcost pelopor duu waktu baru buka menu rata harga rbuan kepiting cm rb worth it rasa klo go food nasi ayam geprek sambel korek suka diskon rb jd klo beli pakai voucher dcost jdnya gratis;positif
Evi Lestari;mahal porsi jdi puas mending kaki lima makan orang habis rbu porsi besar;negatif
arnika oktavia;tempat harga mahal isi nya dikit;negatif
Nur Dwi Astuti;dcost mah gak sesuai slogan nya rasa outlet nya kurang kadang kerang amis terus porsi dikit;negatif
Ranie_ Pane;cost wajib cobain ayam terasi enak parah;positif
Nurma Pbg;kemaren baru makan dcos pesan ikan gurame pedas enak tau ka dri manis hehe;positif
Widya Riana Senja;nasi goreng basah;negatif
meri listia;enak asli suka refilan nya masalah harga porsi bikin berfikir kesana;netral
Wian Amanda;harusx kak ken grat pesan gurami asam manis lbh enak guramix krispi klo dcost pesan terus;positif
Sabina Darsono;mahal gak enak makan dcost manggadua square pesan nasi goreng nasi lembek hancur kayak bubur lg lg deh kecewaaaa;negatif
Salman Salman;ka ken grat coba kepiting soka enak sup tom yumnya tahu kipas enak ngomong ngomong kesana kenyang minum teh gara gara tambah terus minum;positif
Sanchia Eldis;duh baru hari kemarin bang gue cewek gue buka puasa rekomendasi sapi lada hitam mantap banget daging empuk haha;positif
hermin susilowati;mahal untung nasi minum unlimited;netral
Dilan Milea;malesnya refill suka susah gelas nya habis kadang rebut teh es nya;negatif
yuliana gengu;tagih klo makan dcost apalgi ayam lada hitam ny enak sma ikan bakar enk bumbu resap enak lg nasi sma minum puas;positif
intan warda yanti;makan dcost blok square kaget harga mahal banget wkwk rekomendasi ikan ayamayaman saus asam manis nya sih porsi besar makan orang harga nya bilang murah;netral
Ahmad Hidayatullah;enak mah waroeng steak murah pas kantong anak kuliah min rp steak rb minum rb cemilan rb coba atuh kata jakarta coba cari websitenya biar bener soal ragu komplit jl cirangrang bandung coba deh enak lho;positif
Felix Sahetapy;nga napsu lihat menu nya nya enak nya tuh;negatif
Nurul Maghfirah;salad nya bikin nmbh terusssss;positif
hermin susilowati;fix enakk banget bikin candu nasi saladnya;positif
Shena Glenadia;hari dikit porsi hokben mahal rasa enak;negatif
Rizka Faradilla;gokana jg enak saladnya jg enak bro;positif
thien kusumastuti;saladnya enak banget;positif
Dea Angellie;suka bngt teriyaki mantap;positif
Wina Febiana;hokben jadi mahall;negatif
Ajeng Utami;saladnya bikin nagih;positif
Agatha Christina;pertama kali nyoba makan hokben gak enak mayoneise ny gak enak banget;negatif
Yanthi21 Afendi;sup rumput lauuut dor enak banget;positif
Mommy Dhiestha;waaaww enaakknyaa;positif
Kiki Kikii;ta wan enak banget kakap asam manis nya;positif
Qorina Ilmaniar Dewantisari Sari;sapi lada hitam enak;positif
Sridaily Daaa;wahhh warung steak datengin enakkk banget emang kak terus uras kantong banget cocok kalang wkkwwk iya bogor lupa suju ramen kak rekomen banget dehh yakk;positif
Nury Hidayati;warung steak terfavoritmurah;positif
Frisca Sutanto;suka bngt makan ws murmerenak top banget;positif
Aisyah Amini;banget gue kesana tuh;positif
Sri Lestari;enak steak waroeng nya dapet macem udang sapi ayam murah paporit banget sih;positif
Ds Dina;jogja kak pulang sekolah waktu smp mampir makan ws waroeng steak soal deket banget tinggal jalan kaki ws popeye olive chacha milk tea habis nonton dbl terus ws tau penuh;positif
Nabilla Alhabsyi;wahhh warung oke banget upload makan terus ko;positif
queen genuine;warung steak beli;positif
kaniya dwi safitri;waroeng steak ws kak rasa enakk;positif
sisi kirana;murah riah bang ken kyknya tempat bagus makan rawa bong salamkuliner hee;positif
Laura M;resto favorit keluarga;positif
Siti Nurfadilah;omgggg giur;positif
Rizky Dwi Puspitasari;aduh makan enak bingitz ma minum lihat seger banget;positif
SITI MUSLIMAH;lembut banget dagingnyaaaa;positif
J'aS CHANNEL;tempat favorite steak daging semarang;positif
Nur Halisa;mah makan watung steak shake enak banget kak;positif
Parameswari Primadita;mantap emang warung steak shake;positif
Adi Saputra;tuhan tempat favorit gue murah deket rumah team chicken double suaranyaa;positif
cemplon azah;tempat makan steak idola murah riah mantap;positif
ita happy;duhh jaman sma udahh langgan banget nih jogja;positif
Kvnzxx;suka enak;positif
The Beginner;jogja makan steak ws emg top markotop;positif
Anggre Fielano;favorit langgan kuliah;positif
Zalfaaa. Maharani;tempat makan steak favorit jaman kuliah;positif
